fid,natArea10KM,Station,natArea20KM,natArea2KM,natArea30KM,natArea40KM,natArea50KM
111,0.9709923713347907,SKP14,0.9596929960533085,0.9932684090872447,0.9480205212378361,0.9511787666194361,0.9520621901071014
112,0.997109858272144,SKP15,0.96822445786482,1,0.9623054625951389,0.9631253907717818,0.9613165247006787
113,0.9687170713650979,SKP16,0.9514172687189727,0.9693117513340964,0.9435978406483057,0.9477715224876273,0.9492876112519577
114,0.9716625454667392,SKP17,0.9544043096353367,1,0.9467291413489328,0.9502334815098915,0.9511808219099638
115,0.9796951319582663,SKP18,0.960357809393218,1,0.9512551105596205,0.95405811907554,0.9543017778573453
116,0.960493329571561,SKP19,0.9410761776461651,0.9590489623211768,0.9403693302967158,0.9437874102811736,0.9468513261911617
117,0.9838346385862644,SKP2,0.9748841321964989,0.9978716543050629,0.9615437538266612,0.9610680287237171,0.9581187304405738
118,0.9259541819816339,SKP20,0.9293681292305416,0.98375406148462885,0.9337712182420526,0.9390831088176963,0.9425277046873628
119,0.920403217277129,SKP21,0.9255393741214246,0.9999919387993648,0.934711247463838,0.9390699529356346,0.9413790212499709
120,0.9322421325556792,SKP22,0.9326044306180091,1,0.9394505682461037,0.943044650011601,0.9448054786844712
121,0.9250586786525143,SKP23,0.929575792361312,0.9655230813897222,0.9378770453975548,0.9411020151633525,0.9424276834378184
122,0.9435658380821285,SKP24,0.9411780069344599,1,0.9430065076888694,0.9465828984962539,0.9473099805230593
123,0.940991744970836,SKP25,0.9398056444526848,0.9432874569657096,0.9448379761951039,0.9453533917986758,0.9456409708874057
124,0.953401509259725,SKP26,0.948131403850716,0.9934398220531584,0.9478667362139419,0.949094617701029,0.9489343831858505
125,0.980784893600145,SKP27,0.9584331269749146,1,0.9538101589741637,0.9541631398469772,0.9529420556248245
126,0.9918925140686451,SKP28,0.972025011637303,1,0.9679599318593992,0.9652596737542762,0.9640521892963378
127,0.990428138332875,SKP29,0.9787247830898986,1,0.972264708205629,0.9671917303383538,0.9663351469509509
128,0.9898124731593262,SKP3,0.9771745544519101,1,0.9644955991438844,0.9634723580952056,0.9613022295539108
129,0.9869580272355802,SKP30,0.9831813806949797,1,0.9750603434832853,0.9690983705427643,0.9684151749774096
130,0.8927506295101187,SKP31,0.9125234969641576,0.9891751164702658,0.920062585294319,0.9291378166245974,0.9330511469177021
131,0.8551094305599402,SKP32,0.9016282179843305,0.9890091281488889,0.9115674595297855,0.9235313254438853,0.9275553875759845
132,0.8311652212048364,SKP33,0.8908543930357267,0.9593931136783213,0.9046394331773265,0.9189542674401793,0.9220272458431075
133,0.8789993724957065,SKP34,0.8956788674369418,0.9911008649249942,0.9090121208801049,0.9227738715432081,0.9268213611649715
134,0.9369271501910024,SKP35,0.9040531364775833,0.9862575361898314,0.9181655557465996,0.9291397338670285,0.9329716443567547
135,0.9412847592599998,SKP36,0.8966245601606408,0.9762186913024902,0.914418334887811,0.9263260824298557,0.929840546262198
136,0.9059778954751022,SKP37,0.8884428084189495,0.976163606171506,0.9073951472447657,0.9220474203379067,0.9257252539597773
137,0.9952635071132832,SKP4,0.9798775576923573,1,0.9686039688918823,0.9650555090811993,0.9645746828862222
138,0.9939022404663869,SKP5,0.9805861732936662,1,0.971385121729193,0.9666995889092385,0.9661812020480774
139,0.9779515271495036,SKP6,0.9687735416376153,0.9964773689089517,0.9551142025738251,0.9572104567428454,0.9558933082734878
140,0.981911477376047,SKP7,0.9695091803099508,1,0.9567938885464484,0.9593909447765163,0.9583164207766969
141,0.9891794313438288,SKP8,0.9735539606872917,1,0.9603402273986165,0.9617406385096263,0.9608513841631253
142,0.9935826359748322,SKP9,0.9735601313521958,1,0.9631016831485568,0.9630593412088678,0.9620386056511282
