fid,ag10KM,Station,ag20KM,ag2KM,ag30KM,ag40KM,ag50KM
99,0.0053254487545430825,SGE30,0.0038380910965828104,8.07193710346609e-6,0.004842141223522164,0.016270093628596074,0.06889889933149702
100,0.015974404793612822,SGE4,0.012495806038449093,0,0.009608197169766448,0.009472088202897917,0.01175860961666602
101,0.011718057663419884,SGE5,0.012467767636265347,0.04447852760736196,0.009615830933384185,0.009864625895403161,0.01480756041987043
102,0.01151103338441815,SGE6,0.012325426448374817,0,0.009316599739369522,0.009454242404229598,0.013109506985032155
103,0.022122296700025634,SGE7,0.014392771022879341,0.00250256310899066,0.009620401902750736,0.008833291783140886,0.009528112612910566
104,0.009108102052583696,SGE8,0.011935872380121898,0.01040245979033677,0.00898000024966865,0.009326182149218107,0.015417715618131031
105,0.00877482700718639,SGE9,0.01193463361843524,0,0.008707764029822086,0.008600393624840207,0.013839284941737544
106,0.007550536265723164,SKP1,0.015961497927918233,0.009311137087347333,0.02456600849326265,0.029232094584151668,0.031060596368732662
107,0.002396524346501374,SKP10,0.0169450157910917,0,0.024650701012504758,0.02861917665550093,0.02911823017088825
108,0.025128299870740924,SKP11,0.030941824800614477,1.3701721581017474e-4,0.041927606769686376,0.03843329444275876,0.03813789086327307
109,0.02079352054412469,SKP12,0.02928186120923982,0,0.03931838770525358,0.03677951621628511,0.03617349544038295
110,0.013758839682901515,SKP13,0.02643874458321387,0,0.036075976666391535,0.03472686320643124,0.033563101879500276
111,0.026626814468024736,SKP14,0.034956859812891254,0.006731590912755357,0.04438197921974429,0.040099631575731556,0.03993122580819232
112,0.0019957582882003935,SKP15,0.02307342543960158,0,0.030032909754820463,0.030693777735388367,0.03139196999134865
113,0.028832103137804686,SKP16,0.04401302893156022,0.03068824866590356,0.04848391787562028,0.04283426376749479,0.04247033744360896
114,0.025975005827932354,SKP17,0.038431800246499795,0,0.04539442140897132,0.04089341704445351,0.04064325117841526
115,0.017945988889795268,SKP18,0.03118672578191709,0,0.04115227295745189,0.03798576581932991,0.0376782557428491
116,0.03662020877836444,SKP19,0.05443820380504528,0.035123916985694136,0.05154037140107602,0.04605803046913909,0.04466162922055802
117,0.015826178354833197,SKP2,0.01882007483246523,7.09448564979039e-4,0.03146356961171257,0.03293178975608667,0.03438922745537942
118,0.07070621735812017,SKP20,0.06542630299812684,0.01593150099571881,0.05710286147735873,0.05014743597120087,0.04852092610330112
119,0.07543234096121056,SKP21,0.06573335678619295,8.06120063522261e-6,0.055350150673903406,0.05031219418153424,0.049520107652520094
120,0.06490067207451859,SKP22,0.05875920640517356,0,0.051673683205099054,0.04692358076098909,0.04640289176953585
121,0.07175901816482776,SKP23,0.061646625032950396,0.03442852995257911,0.05252163275604065,0.04863915681567906,0.048539800735683536
122,0.05381430381261098,SKP24,0.05002445730418921,0,0.048230314332528924,0.04379405323242191,0.044096549701409894
123,0.05804832292412667,SKP25,0.05126681767982523,0.056664167251207376,0.0466897049727021,0.04491633259626911,0.045523106477729
124,0.04533228348081569,SKP26,0.043004260507722124,0.006560177946841605,0.043808012116961094,0.04156210605246498,0.042602849542570986
125,0.0189339443234602,SKP27,0.03223044431547043,0,0.0387377378963557,0.037339261762562505,0.03895039584424005
126,8.024947301019029e-4,SKP28,0.019161106621877325,0,0.02490928581909725,0.028619040071947804,0.0290754322830813
127,0.0012783761624276058,SKP29,0.012887937659952636,0,0.020730958731566662,0.026860726968052757,0.027230457303139315
128,0.009868340450007673,SKP3,0.017116323502729746,0,0.02820527930779949,0.030623531453405618,0.0314818260595305
129,0.0029522729309747822,SKP30,0.009703136401435138,0,0.017849827863584376,0.02530628064383226,0.025599316571237526
130,0.1015574188360004,SKP31,0.08281967439362556,0.007713636290361581,0.06709954709142117,0.05960011152194442,0.05596375071514839
131,0.13922644843005658,SKP32,0.09300052408218505,0.004902751346643873,0.07439288408133585,0.06474538959688907,0.06076159943667281
132,0.16394681216412965,SKP33,0.10329757218805227,0.04005868932547584,0.08074312995551615,0.06898261854043046,0.0658140537211114
133,0.11534019052139609,SKP34,0.09863814728956388,0.00521534455935578,0.0767441601329002,0.06555680187454115,0.06162935168969435
134,0.0583193148873478,SKP35,0.09013729830831994,0.013734403714092272,0.06910900808138054,0.05974566646212945,0.0567789635501443
135,0.054712581114076286,SKP36,0.09693801913821676,0.008254935629237306,0.0726287431431482,0.06242675690519594,0.05963845327590041
136,0.08855965883898845,SKP37,0.10509587259165722,0.005094555596756251,0.0781994695154088,0.0663244481803493,0.06289283920376763
137,0.00459108697208142,SKP4,0.013970100824600274,0,0.023855042674197913,0.029179501185811436,0.02874630056924716
138,0.002909114591645492,SKP5,0.012665305559876742,0,0.021010285294394436,0.02764607940382248,0.027417530566571816
139,0.020098467530541377,SKP6,0.025471276078673503,0.0011688364032082545,0.03746568506121851,0.03632220049776165,0.036399927720714306
140,0.016769839888057053,SKP7,0.02428554824005302,0,0.03541214101275438,0.034300515181987457,0.034126292520095455
141,0.01056457117358725,SKP8,0.020378889177361956,0,0.03190600008870052,0.032046770912848396,0.03170872533544771
142,0.006174584929963228,SKP9,0.019793266990909487,0,0.029160204746169625,0.03083557997976668,0.03072719869762502
