"","Station","CameraName","Species","DateTimeOriginal","Media.Filename","CommunityName"
"136","SGE10","SGE10","Metachirus nudicaudatus","2022-11-01 01:21:00","3d4414d6-c2d0-40e0-8290-bf472d1ee338","Sinangoe"
"137","SGE10","SGE10","Metachirus nudicaudatus","2022-11-01 01:52:00","634f74f2-59b1-4819-b873-e1fe20165167","Sinangoe"
"138","SGE10","SGE10","Metachirus nudicaudatus","2022-11-03 18:44:00","63472f09-17e6-4f17-80f1-2cf2fdc237a1","Sinangoe"
"139","SGE10","SGE10","Metachirus nudicaudatus","2022-11-10 20:55:00","2790fa97-b382-4924-943d-5452a0ed69a0","Sinangoe"
"140","SGE10","SGE10","Metachirus nudicaudatus","2022-11-11 21:03:00","a43bb3fe-0ca5-4469-9e82-22fa76f5b9db","Sinangoe"
"141","SGE10","SGE10","Metachirus nudicaudatus","2022-11-11 23:57:00","6ae24e59-8344-49ed-8ff5-023170a0f2e7","Sinangoe"
"142","SGE10","SGE10","Metachirus nudicaudatus","2022-11-12 19:16:00","9f3d0f2f-716d-454e-9090-9a379caed18a","Sinangoe"
"143","SGE10","SGE10","Metachirus nudicaudatus","2022-11-13 19:39:00","3b0fdc3a-319d-4886-a6ba-2048155a76bf","Sinangoe"
"144","SGE10","SGE10","Metachirus nudicaudatus","2022-11-14 18:36:00","93d5338c-9c00-4689-8a0e-c4df1c019bd1","Sinangoe"
"145","SGE10","SGE10","Metachirus nudicaudatus","2022-11-15 19:52:00","e851c372-c6cb-4ef1-ad0a-156e5acea534","Sinangoe"
"146","SGE10","SGE10","Metachirus nudicaudatus","2022-11-17 18:30:00","d1fb8b60-e5e4-4853-b397-6cd10eb2eaef","Sinangoe"
"147","SGE10","SGE10","Metachirus nudicaudatus","2022-11-18 00:08:00","a109f85e-2e6f-4019-a466-438d5290a42a","Sinangoe"
"148","SGE10","SGE10","Metachirus nudicaudatus","2022-11-18 19:52:00","8610c1d7-a30c-4dc8-b4eb-27ebe476596d","Sinangoe"
"149","SGE10","SGE10","Metachirus nudicaudatus","2022-11-20 00:12:00","3d7ca676-cb6e-43bf-9160-da7c24521a94","Sinangoe"
"150","SGE10","SGE10","Metachirus nudicaudatus","2022-11-21 20:46:00","867faa8c-9275-488a-8e53-9c0a85c04036","Sinangoe"
"151","SGE10","SGE10","Metachirus nudicaudatus","2022-11-23 00:35:00","9a2f125d-a0f5-4910-8a89-a6c902566938","Sinangoe"
