Date,Group,Species,Count,x,y
11/24/18,Primate,Howler Monkey,1,-75.77510023,-0.324914898
11/27/18,Bird,Toucan,2,-75.78401297,-0.278463357
11/27/18,Cracid,Nocturnal Currasow,1,-75.78401297,-0.278463357
11/27/18,Cracid,Spix's Guan,1,-75.78401297,-0.278463357
11/20/18,Cracid,Spix's Guan,2,-75.73053652,-0.296762449
11/20/18,Bird,Grey-winged Trumpeter,1,-75.73053652,-0.296762449
11/29/18,Rodent,Lowland Paca,1,-75.63008497,-0.378958953
11/29/18,Bird,Undulated Tinamou,1,-75.62645185,-0.381017719
11/30/18,Rodent,Black Agouti,1,-75.74601654,-0.334299048
11/30/18,Cracid,Spix's Guan,2,-75.74601654,-0.334299048
11/30/18,Bird,Undulated Tinamou,1,-75.74601654,-0.334299048
11/28/18,Armadillo,Nine-banded Armadillo,1,-75.77932205,-0.314123126
11/28/18,Bird,Great Tinamou,1,-75.77932205,-0.314123126
11/28/18,Bird,Grey-winged Trumpeter,2,-75.77932205,-0.314123126
11/6/18,Ungulates,Red Brocket Deer,1,-75.70090794,-0.306619154
11/6/18,Rodent,Black Agouti,1,-75.70005024,-0.304260477
11/6/18,Armadillo,Nine-banded Armadillo,1,-75.69779878,-0.308388161
11/14/18,Ungulates,Red Brocket Deer,2,-75.73663471,-0.327260935
11/14/18,Ungulates,White-lipped Peccary,1,-75.73663471,-0.327260935
11/15/18,Armadillo,Nine-banded Armadillo,1,-75.63529244,-0.390463821
11/15/18,Rodent,Black Agouti,1,-75.63165932,-0.39010051
11/15/18,Primate,Howler Monkey,2,-75.63250705,-0.390463821
11/15/18,Cracid,Spix's Guan,1,-75.7145874,-0.354944177
11/15/18,Ungulates,Collared Peccary,1,-75.7145874,-0.354944177
11/19/18,Ungulates,White-lipped Peccary,1,-75.74601654,-0.329137765
11/19/18,Ungulates,Red Brocket Deer,1,-75.74601654,-0.329137765
11/19/18,Cracid,Spix's Guan,1,-75.74601654,-0.329137765
11/20/18,Ungulates,Collared Peccary,1,-75.78682752,-0.279401772
11/20/18,Cracid,Spix's Guan,1,-75.78682752,-0.279401772
11/23/18,Rodent,Lowland Paca,1,-75.78260569,-0.284563054
11/23/18,Cracid,Spix's Guan,1,-75.78260569,-0.284563054
11/22/18,Cracid,Spix's Guan,1,-75.77791478,-0.293477997
11/22/18,Rodent,Black Agouti,1,-75.77791478,-0.293477997
