"","Station","Camera","Species","DateTimeOriginal","Date","Time"
"136",9,"9A","Mazama americana",2018-07-14 20:21:05,2018-07-14,"20:21:05"
"137",5,"5A","Tapirus terrestris",2018-07-15 00:37:00,2018-07-15,"0:37:00"
"138",1,"1B","Dasypus novemcinctus",2018-07-15 01:08:02,2018-07-15,"1:08:02"
"139",26,"26A","Didelphis marsupialis",2018-07-15 03:21:21,2018-07-15,"3:21:21"
"140",21,"21B","Dasypus novemcinctus",2018-07-15 04:40:53,2018-07-15,"4:40:53"
"141",13,"13A","Psophia crepitans",2018-07-15 06:27:06,2018-07-15,"6:27:06"
"142",11,"11A","Mazama americana",2018-07-15 07:13:34,2018-07-15,"7:13:34"
"143",13,"13A","Dicotyles tajacu",2018-07-15 13:21:30,2018-07-15,"13:21:30"
"144",16,"16A","Leucopternis melanops",2018-07-15 13:49:36,2018-07-15,"13:49:36"
"145",15,"15A","Dasyprocta fuliginosa",2018-07-15 14:54:29,2018-07-15,"14:54:29"
"146",30,"30B","Psophia crepitans",2018-07-15 17:00:20,2018-07-15,"17:00:20"
"147",15,"15B","Myoprocta pratti",2018-07-15 17:53:55,2018-07-15,"17:53:55"
"148",22,"22A","Mitu salvini",2018-07-15 18:00:09,2018-07-15,"18:00:09"
"149",24,"24A","Cuniculus paca",2018-07-15 19:23:32,2018-07-15,"19:23:32"
"150",10,"10A","Dasyprocta fuliginosa",2018-07-15 19:46:23,2018-07-15,"19:46:23"
"151",4,"4B","Cuniculus paca",2018-07-15 20:01:34,2018-07-15,"20:01:34"
"152",22,"22A","Tapirus terrestris",2018-07-16 01:06:58,2018-07-16,"1:06:58"
"153",18,"18A","Tamandua tetradactyla",2018-07-16 03:06:01,2018-07-16,"3:06:01"
"154",5,"5A","NAN NAN",2018-07-16 05:51:00,2018-07-16,"5:51:00"
"155",8,"8A","Mazama americana",2018-07-16 05:57:03,2018-07-16,"5:57:03"
"156",4,"4A","Dicotyles tajacu",2018-07-16 08:38:11,2018-07-16,"8:38:11"
"157",16,"16A","Myrmecophaga tridactyla",2018-07-16 16:51:29,2018-07-16,"16:51:29"
"158",21,"21A","Dasyprocta fuliginosa",2018-07-16 16:56:54,2018-07-16,"16:56:54"
"159",21,"21A","Cuniculus paca",2018-07-16 22:11:42,2018-07-16,"22:11:42"
"160",2,"2B","Mazama gouazoubira",2018-07-16 23:43:43,2018-07-16,"23:43:43"
"161",9,"9A","Mazama americana",2018-07-17 00:55:46,2018-07-17,"0:55:46"
"162",2,"2B","Dasypus novemcinctus",2018-07-17 03:30:19,2018-07-17,"3:30:19"
"163",24,"24A","Cuniculus paca",2018-07-17 03:31:46,2018-07-17,"3:31:46"
"164",4,"4B","Myoprocta pratti",2018-07-17 06:40:49,2018-07-17,"6:40:49"
"165",29,"29A","Mitu salvini",2018-07-17 07:44:19,2018-07-17,"7:44:19"
"166",3,"3A","Eira barbara",2018-07-17 09:04:13,2018-07-17,"9:04:13"
"167",8,"8A","Mazama gouazoubira",2018-07-17 09:41:39,2018-07-17,"9:41:39"
"168",21,"21A","Dasyprocta fuliginosa",2018-07-17 09:59:02,2018-07-17,"9:59:02"
"169",3,"3A","Eira barbara",2018-07-17 11:10:26,2018-07-17,"11:10:26"
"170",11,"11A","Eira barbara",2018-07-17 11:42:08,2018-07-17,"11:42:08"
"171",22,"22A","Mazama gouazoubira",2018-07-17 17:18:34,2018-07-17,"17:18:34"
"172",23,"23B","Cuniculus paca",2018-07-17 22:27:43,2018-07-17,"22:27:43"
"173",22,"22A","Dasyprocta fuliginosa",2018-07-18 06:14:32,2018-07-18,"6:14:32"
"174",2,"2B","Eira barbara",2018-07-18 06:41:17,2018-07-18,"6:41:17"
"175",15,"15B","Mazama gouazoubira",2018-07-18 09:01:40,2018-07-18,"9:01:40"
"176",22,"22A","Dicotyles tajacu",2018-07-18 14:43:38,2018-07-18,"14:43:38"
"177",10,"10A","Eira barbara",2018-07-18 15:18:08,2018-07-18,"15:18:08"
